"DTI_CL_ANO","Año","DTI_CL_CUT_2010","Región Provincia Comuna","Value","Flag Codes","Flags"
"2014","2014","13127","Recoleta",156190.96632,,
"2014","2014","13128","Renca",215527.62665,,
"2014","2014","13129","San Joaquín",126741.91447,,
"2014","2014","13130","San Miguel",145921.5012,,
"2014","2014","13131","San Ramón",82501.0205800001,,
"2014","2014","13132","Vitacura",268929.16311,,
"2014","2014","13201","Puente Alto",351624.84378,,
"2014","2014","13301","Colina",259497.55784,,
"2014","2014","13302","Lampa",85740.6981500001,,
"2014","2014","13303","Tiltil",831.23777,,
"2014","2014","13401","San Bernardo",531144.60949,,
"2015","2015","15101","Arica",111960.94599,,
"2015","2015","01101","Iquique",188688.00633,,
"2015","2015","02101","Antofagasta",327691.19149,,
"2015","2015","02201","Calama",90228.49185,,
"2015","2015","03101","Copiapó",136940.04883,,
"2015","2015","04101","La Serena",256422.65334,,
"2015","2015","04102","Coquimbo",191717.18943,,
"2015","2015","04301","Ovalle",28961.44121,,
"2015","2015","05101","Valparaíso",129188.96562,,
"2015","2015","05103","Concón",50510.66752,,
"2015","2015","05109","Viña del Mar",167402.67295,,
"2015","2015","05301","Los Andes",86228.454434029,,
"2015","2015","05601","San Antonio",93156.2711886,,
"2015","2015","05701","San Felipe",73965.136010773,,
"2015","2015","05801","Quilpué",48031.58275,,
"2015","2015","05804","Villa Alemana",14644.69467,,
"2015","2015","06101","Rancagua",108688.92348,,
"2015","2015","06301","San Fernando",76882.08271034,,
"2015","2015","07101","Talca",177855.43822,,
"2015","2015","07301","Curicó",41349.65944,,
"2015","2015","07401","Linares",28303.53475,,
"2015","2015","08101","Concepción",246601.44636,,
"2015","2015","08102","Coronel",140698.13949,,
"2015","2015","08103","Chiguayante",71272.39262,,
"2015","2015","08105","Hualqui",6242.95604,,
"2015","2015","08106","Lota",15140.00112,,
"2015","2015","08107","Penco",64687.33306,,
"2015","2015","08108","San Pedro de la Paz",173837.59424,,
"2015","2015","08110","Talcahuano",197433.81207,,
"2015","2015","08111","Tomé",28894.23358,,
"2015","2015","08112","Hualpén",95286.2646,,
"2015","2015","08301","Los Ángeles",137036.73751,,
"2015","2015","08401","Chillán",160203.05767,,
"2015","2015","09101","Temuco",185590.61619,,
"2015","2015","09112","Padre Las Casas",11436.18199,,
"2015","2015","09201","Angol",18006.56652,,
"2015","2015","14101","Valdivia",39873.7832,,
"2015","2015","10101","Puerto Montt",137919.18208,,
"2015","2015","10301","Osorno",72902.53375,,
